open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote,ignore
2026-04-12 23:40:00,70638.35000000,70694.63000000,70638.35000000,70676.33000000,8.15309000,2026-04-12 23:40:59.999,576219.64352620,1927,3.79460000,268177.16927010,0
2026-04-12 23:41:00,70676.33000000,70680.21000000,70665.33000000,70670.01000000,6.10827000,2026-04-12 23:41:59.999,431670.87642880,1237,4.30624000,304312.04279340,0
2026-04-12 23:42:00,70670.02000000,70675.32000000,70665.33000000,70665.34000000,1.85810000,2026-04-12 23:42:59.999,131316.96448010,679,0.38324000,27084.72855090,0
2026-04-12 23:43:00,70665.33000000,70665.34000000,70600.00000000,70619.41000000,3.36920000,2026-04-12 23:43:59.999,237958.28523540,1776,1.28649000,90850.73370210,0
2026-04-12 23:44:00,70619.41000000,70733.28000000,70619.40000000,70733.27000000,5.69241000,2026-04-12 23:44:59.999,402276.69214440,2204,5.30582000,374965.07988690,0
2026-04-12 23:45:00,70733.27000000,70735.12000000,70692.24000000,70701.46000000,1.97666000,2026-04-12 23:45:59.999,139799.89110690,1139,0.72484000,51265.47878810,0
2026-04-12 23:46:00,70701.46000000,70701.47000000,70692.25000000,70693.15000000,1.46020000,2026-04-12 23:46:59.999,103234.85847670,956,0.27702000,19584.71736080,0
2026-04-12 23:47:00,70693.15000000,70693.16000000,70624.25000000,70624.25000000,3.68601000,2026-04-12 23:47:59.999,260446.96867600,1205,0.66403000,46917.83641150,0
2026-04-12 23:48:00,70624.25000000,70625.32000000,70597.87000000,70614.16000000,2.46770000,2026-04-12 23:48:59.999,174265.80661190,1593,0.60885000,42993.41797730,0
2026-04-12 23:49:00,70614.16000000,70614.16000000,70592.29000000,70594.68000000,2.16539000,2026-04-12 23:49:59.999,152873.03871540,1162,1.06677000,75310.55201300,0
2026-04-12 23:50:00,70594.68000000,70637.47000000,70594.68000000,70628.41000000,7.17267000,2026-04-12 23:50:59.999,506565.43593410,3047,3.39137000,239493.22214060,0
2026-04-12 23:51:00,70628.40000000,70705.55000000,70628.40000000,70705.55000000,1.92607000,2026-04-12 23:51:59.999,136123.66202230,1914,1.73347000,122509.34225120,0
2026-04-12 23:52:00,70705.54000000,70776.93000000,70705.54000000,70766.13000000,13.27619000,2026-04-12 23:52:59.999,939437.59666250,3206,8.87512000,627973.64830990,0
2026-04-12 23:53:00,70766.12000000,70766.13000000,70724.14000000,70734.52000000,7.24118000,2026-04-12 23:53:59.999,512215.45951210,1474,4.10074000,290063.08349310,0
2026-04-12 23:54:00,70734.51000000,70734.52000000,70713.06000000,70729.21000000,6.75423000,2026-04-12 23:54:59.999,477666.31023620,1286,4.30326000,304326.03391160,0
2026-04-12 23:55:00,70729.22000000,70776.93000000,70729.21000000,70776.93000000,6.92035000,2026-04-12 23:55:59.999,489585.53605350,1063,6.70853000,474597.43366660,0
2026-04-12 23:56:00,70776.93000000,70790.02000000,70762.57000000,70762.57000000,3.74466000,2026-04-12 23:56:59.999,265056.32708250,1235,1.96293000,138940.96458050,0
2026-04-12 23:57:00,70762.57000000,70762.57000000,70712.99000000,70723.95000000,8.86937000,2026-04-12 23:57:59.999,627298.29412440,1574,1.25467000,88738.67442760,0
2026-04-12 23:58:00,70723.95000000,70768.48000000,70723.95000000,70768.48000000,6.00011000,2026-04-12 23:58:59.999,424447.35153040,1196,5.85694000,414320.40268010,0
2026-04-12 23:59:00,70768.47000000,70768.47000000,70724.19000000,70740.98000000,5.43287000,2026-04-12 23:59:59.999,384384.18079970,1297,1.69226000,119718.46922540,0
2026-04-13 00:00:00,70741.56000000,70749.84000000,70646.82000000,70648.87000000,36.71326000,2026-04-13 00:00:59.999,2595333.91155730,5286,18.30782000,1294350.93477410,0
2026-04-13 00:01:00,70648.87000000,70661.94000000,70634.70000000,70651.09000000,4.75203000,2026-04-13 00:01:59.999,335707.51670250,3405,2.31011000,163197.28269620,0
2026-04-13 00:02:00,70651.09000000,70651.09000000,70615.30000000,70615.30000000,4.21100000,2026-04-13 00:02:59.999,297427.75476010,2429,1.01730000,71852.56671480,0
2026-04-13 00:03:00,70615.31000000,70655.85000000,70615.30000000,70625.31000000,6.68073000,2026-04-13 00:03:59.999,471904.73510720,3684,4.73360000,334351.42300390,0
2026-04-13 00:04:00,70625.32000000,70691.25000000,70625.31000000,70687.97000000,4.49842000,2026-04-13 00:04:59.999,317884.84381330,2189,2.04952000,144817.71067790,0
2026-04-13 00:05:00,70687.97000000,70755.32000000,70687.97000000,70755.32000000,6.40851000,2026-04-13 00:05:59.999,453208.37596870,2819,4.40683000,311630.53809340,0
2026-04-13 00:06:00,70755.32000000,70788.25000000,70733.34000000,70735.11000000,9.15627000,2026-04-13 00:06:59.999,647891.79850990,2905,4.87693000,345124.79486020,0
2026-04-13 00:07:00,70735.12000000,70778.71000000,70735.11000000,70776.50000000,8.74099000,2026-04-13 00:07:59.999,618568.61441420,2723,4.61846000,326820.47920250,0
2026-04-13 00:08:00,70776.50000000,70876.04000000,70776.49000000,70826.01000000,21.80671000,2026-04-13 00:08:59.999,1544817.43350830,4128,18.57618000,1315940.14960650,0
2026-04-13 00:09:00,70826.00000000,70892.03000000,70817.46000000,70892.02000000,18.91651000,2026-04-13 00:09:59.999,1340585.82869190,2498,17.09255000,1211344.26666110,0
2026-04-13 00:10:00,70892.03000000,70907.48000000,70890.55000000,70899.83000000,7.37325000,2026-04-13 00:10:59.999,522788.03120920,1314,5.62021000,398489.07715530,0
2026-04-13 00:11:00,70899.83000000,70902.11000000,70820.58000000,70858.98000000,12.55256000,2026-04-13 00:11:59.999,889363.17228440,3194,5.19871000,368305.75586780,0
2026-04-13 00:12:00,70858.97000000,70862.48000000,70842.51000000,70855.40000000,2.18684000,2026-04-13 00:12:59.999,154933.16141010,1088,0.86944000,61596.52124950,0
2026-04-13 00:13:00,70855.41000000,70898.56000000,70829.06000000,70898.56000000,5.55517000,2026-04-13 00:13:59.999,393604.98606080,2520,3.26217000,231152.57868140,0
2026-04-13 00:14:00,70898.55000000,70916.96000000,70898.55000000,70916.18000000,3.49029000,2026-04-13 00:14:59.999,247490.99049820,1288,3.22737000,228848.00960980,0
2026-04-13 00:15:00,70916.18000000,70920.09000000,70895.08000000,70895.09000000,2.74051000,2026-04-13 00:15:59.999,194329.94582520,1492,1.90317000,134957.40768910,0
2026-04-13 00:16:00,70895.09000000,70895.09000000,70844.92000000,70859.37000000,6.12083000,2026-04-13 00:16:59.999,433731.69936420,2382,3.94862000,279787.18052050,0
2026-04-13 00:17:00,70859.37000000,70886.43000000,70831.13000000,70831.14000000,3.12511000,2026-04-13 00:17:59.999,221481.81799350,1832,1.57712000,111784.04383720,0
2026-04-13 00:18:00,70831.13000000,70902.77000000,70831.13000000,70902.76000000,3.99301000,2026-04-13 00:18:59.999,282976.85227280,2046,2.87128000,203463.23278230,0
2026-04-13 00:19:00,70902.77000000,70902.77000000,70852.09000000,70852.09000000,2.77061000,2026-04-13 00:19:59.999,196396.71061180,1573,1.06967000,75830.79067250,0
2026-04-13 00:20:00,70852.09000000,70897.16000000,70852.09000000,70884.50000000,4.13616000,2026-04-13 00:20:59.999,293138.74358160,1529,2.07520000,147063.73065770,0
2026-04-13 00:21:00,70883.18000000,70921.07000000,70882.35000000,70921.07000000,7.02789000,2026-04-13 00:21:59.999,498339.43274890,1964,4.93634000,350017.03875560,0
2026-04-13 00:22:00,70921.38000000,70934.04000000,70853.68000000,70853.69000000,11.62820000,2026-04-13 00:22:59.999,824641.80866520,2917,5.79544000,411044.99031530,0
2026-04-13 00:23:00,70853.69000000,70896.11000000,70831.86000000,70896.11000000,15.44603000,2026-04-13 00:23:59.999,1094454.38651010,3177,7.95821000,563938.77679960,0
2026-04-13 00:24:00,70896.11000000,70927.28000000,70877.43000000,70925.27000000,4.64973000,2026-04-13 00:24:59.999,329634.17018040,1936,3.62450000,256952.93478560,0
2026-04-13 00:25:00,70925.28000000,70960.00000000,70889.47000000,70958.18000000,53.44338000,2026-04-13 00:25:59.999,3791807.04994320,2134,37.34532000,2649522.92279190,0
2026-04-13 00:26:00,70958.18000000,70989.44000000,70944.31000000,70970.53000000,13.19607000,2026-04-13 00:26:59.999,936539.40314310,2890,8.93454000,634107.59931090,0
2026-04-13 00:27:00,70970.52000000,71089.58000000,70970.52000000,71072.62000000,41.08305000,2026-04-13 00:27:59.999,2918166.36952790,5067,38.54140000,2737596.94904300,0
2026-04-13 00:28:00,71072.61000000,71089.60000000,71017.18000000,71017.19000000,4.00828000,2026-04-13 00:28:59.999,284817.01364820,1997,1.81696000,129121.43186220,0
2026-04-13 00:29:00,71017.19000000,71029.30000000,70982.39000000,70982.39000000,2.30835000,2026-04-13 00:29:59.999,163931.89150880,1605,0.51744000,36750.02638810,0
2026-04-13 00:30:00,70982.39000000,70997.11000000,70954.72000000,70966.89000000,5.51312000,2026-04-13 00:30:59.999,391223.52707400,1703,4.94218000,350697.46029280,0
2026-04-13 00:31:00,70966.89000000,71010.69000000,70961.56000000,71009.62000000,2.61739000,2026-04-13 00:31:59.999,185811.11553720,2473,2.07363000,147204.63620020,0
2026-04-13 00:32:00,71009.63000000,71040.71000000,70999.04000000,71000.83000000,4.08881000,2026-04-13 00:32:59.999,290366.88494850,1949,2.46281000,174894.85285640,0
2026-04-13 00:33:00,71000.83000000,71081.12000000,71000.83000000,71069.53000000,5.13599000,2026-04-13 00:33:59.999,364910.54777200,2504,4.26839000,303254.93995470,0
2026-04-13 00:34:00,71069.54000000,71084.77000000,71061.60000000,71084.77000000,2.38796000,2026-04-13 00:34:59.999,169708.75907180,1364,0.88321000,62768.23291580,0
2026-04-13 00:35:00,71084.76000000,71084.76000000,71054.70000000,71054.70000000,5.35648000,2026-04-13 00:35:59.999,380701.26605480,1736,1.33671000,94994.17429930,0
